0,9.99966e-07,-2.076389e-11
1.5,-3.006248e-11,1.000036e-06
0,4.921077e-07,-1.843091e-11
32.5,-3.240163e-11,1.000661e-06
39.5,9.953391e-07,9.770336e-07
37.5,9.845141e-08,3.501257e-07
42.0,-1.132039e-10,1.925873e-07
35.5,8.127576e-08,1.000035e-06
33.0,-2.126526e-11,1.000034e-06
37.5,3.40774e-07,1.000033e-06
15.0,1.319342e-10,1.533334e-09
60.5,-3.260503e-11,7.692014e-09
32.5,5.050034e-07,1.798454e-07
30.0,-1.227108e-07,8.987261e-08
41.5,-3.321524e-11,1.000034e-06
26.0,3.391586e-07,9.573715e-07
60.5,-2.706227e-11,7.737607e-09
33.5,9.999678e-07,1.000034e-06
25.0,3.745211e-10,3.846681e-09
32.5,5.590591e-07,6.341244e-09
40.5,9.999669e-07,1.000034e-06
40.0,-3.087608e-11,1.000677e-06
40.5,9.999671e-07,1.000034e-06
30.5,2.637729e-07,5.303063e-08
46.5,2.815724e-11,1.000032e-06
33.5,-8.385117e-07,1.000034e-06
34.5,9.999686e-07,9.599797e-07
36.5,1.761928e-07,1.893932e-07
32.5,-3.275759e-11,1.000253e-06
31.0,9.999668e-07,1.000035e-06
56.0,-2.741823e-11,1.000033e-06
23.5,-1.076102e-10,4.116134e-08
40.5,9.999685e-07,1.000034e-06
33.5,7.93571e-08,1.562604e-07
38.5,-1.405108e-10,1.354248e-07
33.5,6.458311e-07,1.000033e-06
40.0,1.661625e-07,3.504352e-07
34.0,9.999679e-07,1.000034e-06
31.5,-3.189312e-11,1.000035e-06
20.0,-9.6049e-09,1.294951e-08
36.0,1.311859e-07,1.669844e-08
32.5,-1.061864e-10,1.029313e-07
36.5,-1.090341e-10,1.391693e-07
31.0,1.55346e-07,1.000035e-06
33.0,-3.982585e-11,1.000035e-06
29.5,6.931267e-07,1.000035e-06
28.5,-4.343628e-11,1.000036e-06
23.5,-1.750953e-08,3.956779e-07
28.5,-2.298051e-10,7.113844e-08
27.0,-2.566543e-10,4.785108e-08
29.5,-1.119668e-07,1.000378e-06
34.0,-2.04532e-10,4.201447e-07
33.5,-3.036758e-11,1.000034e-06
46.5,-2.726567e-11,1.000031e-06
53.5,-3.896138e-11,1.000034e-06
29.5,-1.109595e-11,1.000325e-06
